Composition,U(Sc),U(Ti),U(V),U(Cr),U(Mn),U(Fe),U(Co),U(Ni),U(Cu),U(Zn),SCAN+rvv10+U Total E (eV),Energy per S (ev),Calc. Formation Energy (eV),Expt. Formation Energy 298.15K per O2 (eV),Expt. Formation Energy 298.15K (eV),Expt. Formation Energy 0K per O2 (eV),Expt. Formation Energy 0K (eV),Notes,Ref Expt.
NiS,,,,,,,,0.5,,,-6.209893333,-6.209893333,-0.6284036458,,-0.9029649596,,,,OQMD
NiS,,,,,,,,1,,,-5.83951,-5.83951,-0.6284036458,,-0.9029649596,,,,OQMD
NiS,,,,,,,,1.5,,,-5.472773333,-5.472773333,-0.2580203125,,-0.9029649596,,,,OQMD
,,,,,,,,,,,,,,,,,,,
CuS,,,,,,,,,0,,-3.9329,-3.9329,-0.5779603125,,-0.5419329,,,,
CuS,,,,,,,,,0.1,,-3.884783333,-3.884783333,-0.5298436458,,-0.5419329,,,,
CuS,,,,,,,,,0.5,,-3.693636667,-3.693636667,-0.3386969792,,-0.5419329,,,,
CuS,,,,,,,,,1,,-3.457603333,-3.457603333,-0.1026636458,,-0.5419329,,,,
CuS,,,,,,,,,1.5,,-3.224833333,-3.224833333,0.1301063542,,-0.5419329,,,,
Cu2S,,,,,,,,,0,,-4.3366075,-4.3366075,-0.7813278125,,-0.8241758242,,,,OQMD
Cu2S,,,,,,,,,0.1,,-4.2417625,-4.2417625,-0.6864828125,,-0.8241758242,,,,OQMD
Cu2S,,,,,,,,,0.5,,-3.86832,-3.86832,-0.3130403125,,-0.8241758242,,,,OQMD
Cu2S,,,,,,,,,1,,-3.4080375,-3.4080375,0.1472421875,,-0.8241758242,,,,OQMD
Cu2S,,,,,,,,,1.5,,-2.954855,-2.954855,0.6004246875,,-0.8241758242,,,,
,,,,,,,,,,,,,,,,,,,
TiS,,0.1,,,,,,,,,-12.259185,-6.1295925,-3.202500313,,-2.746,,,,
TiS,,0.5,,,,,,,,,-11.93448,-5.96724,-2.877795313,,-2.746,,,,
TiS,,1,,,,,,,,,-11.53184,-5.76592,-2.475155313,,-2.746,,,,
TiS,,1.5,,,,,,,,,-11.133305,-5.5666525,-2.076620313,,-2.746,,,,
TiS2,,0.1,,,,,,,,,-16.31342,-4.078355,-4.102135625,,-4.088741447,,,,
TiS2,,0.5,,,,,,,,,-16.02152,-4.00538,-3.810235625,,-4.088741447,,,,
TiS2,,1,,,,,,,,,-15.66085,-3.9152125,-3.449565625,,-4.088741447,,,,
TiS2,,1.5,,,,,,,,,-15.30598,-3.826495,-3.094695625,,-4.088741447,,,,
,,,,,,,,,,,,,,,,,,,
CrS,,,,0.1,,,,,,,-12.733825,-6.3669125,-1.862575313,,-1.612669196,,,,
CrS,,,,0.5,,,,,,,-12.39941,-6.199705,-1.528160313,,-1.612669196,,,,
CrS,,,,1,,,,,,,-12.04635,-6.023175,-1.175100313,,-1.612669196,,,,
CrS,,,,1.5,,,,,,,-11.72435,-5.862175,-0.8531003125,,-1.612669196,,,,
,,,,,,,,,,,,,,,,,,,
CoS2,,,,,,,0,,,,-13.60299,-6.801495,-1.773440625,,-1.586676069,,,,
CoS2,,,,,,,0.1,,,,-13.5204475,-6.76022375,-1.690898125,,-1.586676069,,,,
CoS2,,,,,,,0.5,,,,-13.195105,-6.5975525,-1.365555625,,-1.586676069,,,,
CoS2,,,,,,,1,,,,-12.79854,-6.39927,-0.968990625,,-1.586676069,,,,
CoS2,,,,,,,1.5,,,,-12.414155,-6.2070775,-0.584605625,,-1.586676069,,,,
Co3S4,,,,,,,0,,,,-33.268095,-8.31702375,-4.08864625,,-3.605,,,,
Co3S4,,,,,,,0.1,,,,-33.0038,-8.25095,-3.82435125,,-3.605,,,,
Co3S4,,,,,,,0.5,,,,-31.957955,-7.98948875,-2.77850625,,-3.605,,,,
Co3S4,,,,,,,1,,,,-30.66438,-7.666095,-1.48493125,,-3.605,,,,
Co3S4,,,,,,,1.5,,,,-29.39392,-7.34848,-0.21447125,,-3.605,,,,
Co9S8,,,,,,,0,,,,-84.87916,-10.609895,-9.9592125,,-9.01,,,,
Co9S8,,,,,,,0.1,,,,-84.06094,-10.5076175,-9.1409925,,-9.01,,,,
Co9S8,,,,,,,0.5,,,,-80.80089,-10.10011125,-5.8809425,,-9.01,,,,
Co9S8,,,,,,,1,,,,-76.75712,-9.59464,-1.8371725,,-9.01,,,,
Co9S8,,,,,,,1.5,,,,-72.74844,-9.093555,2.1715075,,-9.01,,,,
,,,,,,,,,,,,,,,,,,,
MnS,,,,,0,,,,,,-11.02826,-11.02826,-1.177631347,,-1.110046017,,,,
MnS,,,,,0.1,,,,,,-10.96817,-10.96817,-1.117541347,,-1.110046017,,,,
MnS,,,,,0.5,,,,,,-10.7562,-10.7562,-0.905571347,,-1.110046017,,,,
MnS,,,,,1,,,,,,-10.54775,-10.54775,-0.697121347,,-1.110046017,,,,
MnS,,,,,1.5,,,,,,-10.3681,-10.3681,-0.517471347,,-1.110046017,,,,
,,,,,,,,,,,,,,,,,,,
Sc2S3,0,,,,,,,,,,-28.12380560,-9.37460187,-10.87348656,,-12.14,,,,
Sc2S3,0.1,,,,,,,,,,-28.03362223,-9.34454074,-10.78330344,,-12.14,,,,
Sc2S3,0.5,,,,,,,,,,-27.67872798,-9.22624266,-10.42840906,,-12.14,,,,
Sc2S3,1,,,,,,,,,,-27.24788776,-9.08262925,-9.997568438,,-12.14,,,,
Sc2S3,1.5,,,,,,,,,,-26.83097779,-8.94365926,-9.580658438,,-12.14,,,,
,,,,,,,,,,,,,,,,,,,
FeS,,,,,,0,,,,,-9.934518333,-9.934518333,-1.513328646,,-1.057433133,,,,
FeS,,,,,,0.1,,,,,-9.832301667,-9.832301667,-1.411111979,,-1.057433133,,,,
FeS,,,,,,0.5,,,,,-9.42698235,-9.42698235,-1.005792663,,-1.057433133,,,,
FeS,,,,,,1,,,,,-9.092698167,-9.092698167,-0.6715084792,,-1.057433133,,,,
FeS,,,,,,1.5,,,,,-8.797826667,-8.797826667,-0.3766369792,,-1.057433133,,,,
Fe7S8,,,,,,0,,,,,-75.01624,-9.37703,-12.9133125,,-9.295688748,,,,
Fe7S8,,,,,,0.1,,,,,-74.268965,-9.283620625,-12.1660375,,-9.295688748,,,,
Fe7S8,,,,,,0.5,,,,,-71.31077,-8.91384625,-9.2078425,,-9.295688748,,,,
Fe7S8,,,,,,1,,,,,-67.68908,-8.461135,-5.5861525,,-9.295688748,,,,
Fe7S8,,,,,,1.5,,,,,-64.160655,-8.020081875,-2.0577275,,-9.295688748,,,,
,,,,,,,,,,,,,,,,,,,
ZnS,,,,,,,,,,0,-3.44548829,-3.44548829,-1.942660313,,-2.019672383,,,,
ZnS,,,,,,,,,,0.1,-3.44548829,-3.44548829,-1.933325313,,-2.019672383,,,,
ZnS,,,,,,,,,,0.5,-3.44548829,-3.44548829,-1.898230313,,-2.019672383,,,,
ZnS,,,,,,,,,,1.0,-3.44548829,-3.44548829,-1.856555313,,-2.019672383,,,,
ZnS,,,,,,,,,,1.5,-3.44548829,-3.44548829,-1.797485313,,-2.019672383,,,,
,,,,,,,,,,,,,,,,,,,
MnS2,,,,,1.5,,,,,,-13.54842569,-6.502614171,-0.543197343,,-2.31997935,,,,
MnS2,,,,,1.0,,,,,,-13.71368834,-6.502614171,-0.708459998000001,,-2.31997935,,,,
MnS2,,,,,0.5,,,,,,-14.71743459,-6.502614171,-1.7122062505000000,,-2.31997935,,,,
MnS2,,,,,0.1,,,,,,-15.1224349,-6.502614171,-2.1172065080000000,,-2.31997935,,,,
MnS2,,,,,0.0,,,,,,-15.23296351,-6.502614171,-2.227735163000000,,-2.31997935,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cr2S3,,,,1.5,,,,,,,-26.44877257,-8.29903302133333,-1.551673506,,-4.0328613,,,,
Cr2S3,,,,0.5,,,,,,,-27.76975352,-8.29903302133333,-2.87265445766667,,-4.0328613,,,,
Cr2S3,,,,0.5,,,,,,,-27.76976413,-8.29903302133333,-2.872665064333340,,-4.0328613,,,,
Cr2S3,,,,0.1,,,,,,,-28.38774744,-8.29903302133333,-3.4906483776666700,,-4.0328613,,,,
Cr2S3,,,,0.0,,,,,,,-28.5506422,-8.29903302133333,-3.653543169333340,,-4.0328613,,,,
